Species,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2
Achnanthes spp.,,,,,,,,,,
Actinocyclus spp.,,,,,,,,,,
Actinoptychus senarius,,,,,,,,,,
Actinoptychus undulatus,,,,,,,,,,
Amphiprora spp.,,,,,,,,,,
Amphora spp.,,,,,,,,,,
Asterionellopsis glacialis,,1452,,,,,,,,
Asteroplanus karianus,,,,,,,,,,
Bacillaria paxillifer,,,,,,,,,,
Bacteriastrum spp.,,,,,,,,,,
Biddulphia spp.,,,,,,,,,,
Cerataulina pelagica,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,
resting spores of Chaetoceros compressus,,,,,,,,,,
Chaetoceros constrictus,,,,,,,,,,
Chaetoceros curvisetus,,,,,,,,,,
Chaetoceros danicus,,,,,,,,,,
Chaetoceros decipiens,,,,,,,,,,
Chaetoceros didymus,,,,,,,,,,
resting spores of Chaetoceros didymus,,,,,,,,,,
Chaetoceros distans,,,,,,,,,,
Chaetoceros eibenii,,,,,,,,,,
Chaetoceros lorenzianus,,,,,,,,,,
resting spores of Chaetoceros lorenzianus,,,,,,,,,,
Chaetoceros pseudocurvisetus,,,,,,,,,,
Chaetoceros rostratus,,,,,,,,,,
Chaetoceros simplex,,,,,,,,,,
Chaetoceros socialis,,,,,,,,,,
Chaetoceros teres,,,,,,,,,,
Chaetoceros spp.,,,,,,,,,,1452
resting spores of Chaetoceros spp.,,,,,,,,,,
Climacosphenia moniligera,,,,,,,,,,
Corethron hystrix,,,,,,,,,,
Corethron criophlium,,,,,,,,,,
Coscinodiscus asteromphalus,,,,,,,,,,
Coscinodiscus bipartitus,,,,,,,,,,
Coscinodiscus blandus,,,,,,,,,,
Coscinodiscus concinus,,,,,,,,,,
Coscinodiscus lineatus,,,,,,,,,,
Coscinodiscus radiatus,,,,,,,,,,
Coscinodiscus spp.,,,,,,,,,,
Cylindrotheca closterium,,,,,,,,,,
Cyclotella spp.,,,,,,,,,,
Cyclotella striata,,,,,,,,,,
Cyclotella stylorum,,,,,,,,,,
Cymbella spp.,,,,,,,,,,
Dactyliosolen fragilissimus,580800,140800,70400,,,,,,5852,
Delphineis surriella,,,,,,,,,,
Delphineis spp. ,,,,,,,,,,
Detonula confervacea,,,,,,,,,,
Detonula pumila,,,,,,,,,,
Diatoma vulgaris,,,,,,,,,,
Ditylum brightwellii,,,,,,,,,,
Diploneis smithii,,,,,,,,,,
Diploneis sp.,,,,,,,,,,
Eucampia cornuta,,,,,,,,,,
Eucampia zodiacus,,,,,,,,,,
Fragilaria spp.,,,,,,,,,,14652
Frustulia spp.,1742,,,,,,,,,
Gomphonema spp.,,,,,,,,,,
Grammatophora marina,,,,,,,,,,
Guinardia delicatula,4699200,2437600,576400,268400,,,277200,149600,743600,312400
Guinardia striata,,,,,,,,,,
Guinardia flaccida,,,,,,,,,,
Guinardia spp. ,,,,,,,,,,
Haslea spp.,,,,,,,,,,
Hemiaulus sinensis,,,,,,,,,,
Hemidiscus cuneiformis,,,,,,,,,,
Lauderia annulata,,,,,,,,,,
Leptocylindrus danicus,,,,,,,,,,
Leptocylindrus minimus,,,,,,,,,,
Licmophora dalmatica,,,,,,,,,,
Licmophora flabellata,,,,,,,,,,
Lioloma spp.,,,,,,,,,,
Lithodesmium undulatum,,,,,,,,,,
Melosira nummuloides,,,,,,,,,,
Melosira spp.,,,,,,,,,,
Navicula ambigua,,,,,,,,,,
Navicula cryptocephala,,,,,,,,,,
Navicula spp.,,,,,,,,,,
Neodelphineis spp.,,,,,,,,,,
Nitzschia closterium,,,,,,,,,,2904
Nitzschia longissima,,,,,,,,,1452,
Nitzschia lorenziana,,,,,,,,,,
Nitzschia navicularis,,,,,,,,,,
Nitzschia obtusa,,,,,,,,,,
Nitzschia spp.,,,,,,,,,,
Odontella aurita,,,,,,,,,,
Odontella longicruris,,,,,,,,,,
Odontella mobiliensis,,,,,,,,,,
Odontella sinensis,,,,,,,,,,
Odontella spp.,,,,,,,,,,
Paralia sulcata,,5852,48400,30800,30800,13200,,,,1452
Pinnularia spp.,,,,,,,,,,
Pleurosigma angulatum,,,,,,,,,,
Pleurosigma directum,,,,,,,,,,
Pleurosigma falx,,,,,,,,,,
Pleurosigma normanii,,,,,,,,,,
Pleurosigma spp.,,,,,,,,,,
Pseudo-nitzschia spp.,,,,,,,,,,
Pseudo-nitzschia delicatissima,,,,,,,,,,
Pseudo-nitzschia pungens,,,,,,,,,,
Rhabdonema adriaticum,,,,,,,,,,
Rhaphoneis rhomoides,,,,,,,,,,
Rhaphoneis spp.,,,,,,,,,,
Rhizosolenia alata,,,,,,,,,,
Rhizosolenia calar-avis,,,,,,,,,,
Rhizosolenia longiseta,,,,,,,,,,
Rhizosolenia pungens,,,,,,,,,,
Rhizosolenia robusta,,,,,,,,,,
Rhizosolenia setigera,,,,,,,,,,
Rhizosolenia stolterfothii,,,,,,,,,,
Rhizosolenia styliformis,,,,,,,,,,
Rhizosolenia spp.,,,,352,,,,,,
Rhoicosphenia spp.,,,,,,,,,,
Rhopalodia musculus,,,,,,,,,,
Schröderella delicatula ,,,,,,,,,,
Seminavis robusta,,,,,,,,,,
Skeletonema spp. ,47520,,,,,,,,,
Stephanopyxis turris,,,,,,,,,,
Streptotheca indica,,,,,,,,,,
Surirella fluminensis,,,,,,,,,,
Surirella spp.,,,,,,,,,,
Thalassionema frauenfeldii,31680,22000,61600,132000,83600,39600,92400,92400,,52800
Thalassionema nitzschiodes ,184800,246400,325600,303600,550000,330000,510400,303600,,167200
Thalassiosira spp.,95040,2904,8712,20460,10208,23408,1452,2904,7260,1452
Thalassiothrix longissima,,,,,,,,,,
Trachyneis aspera,,,,,,,,,,
Triceratium spp.,,,,,,,,,,
Trigonium spp.,,,,,,,,,,
Toxarium spp.,,,,,,,,,,
Akashiwo sanguinea,,,,,,,,,,
Alexandrium spp.,422,,,,,,,,,
Alexandrium tamarense,,,,,,,,,,
Amphidinium crassum,,,,,,,,,,
Amphidinium carterae,,,,,,,,,,
Ceratium furca ,,,,,,,,,,
"Ceratium fusus (Ehrenberg) Dujardin, 1841",,,,,,,,,,
Ceratium horridum ,,,,,,,,,,
Ceratium spp.,,,,,,,,,,
Cochlodinium spp.,,,,,,,,,,
Coolia spp.,,,,,,,,,,
Dinophysis acuminata ,,,,,,,,,352,
Dinophysis miles,,,,,,,,,,
Dinophysis norvegica,,,,,,,,,,
Diplopsalis lenticula,,,,,,,,,,
Gambierdiscus toxicus,,,,,,,,,,
Gonyaulax spp.,,,,,,,,,,
Gonyaulax polygramma,,,,,,,,,,
Gonyaulax verior,,,,,,,,,,
Gymnodinium spp.,1742,2904,,,,,2904,8800,13200,1452
Gyrodinium spp.,,,,,,,,,,
Gyrodinium instriatum,,,,,,,,,,
Gyrodinium spirale,,,,,,,,,352,
Heterocapsa circularisquama,3485,2904,,,22000,35200,22000,,17600,
Heterocapsa triquetra,,,,,,,,,,
Karenia spp.,,,,,,,,,,
Karlodinium spp.,,,,,,,,,,
Katodinium glaucum,,,,,,,,,,
Noctiluca scintillans,,,,,,,,,,
Oblea rotunda,,,,,,,,,,
Oxyrrhis marina,,,,,,,,,,
Oxytoxum spp.,,,,,,,,,,176
Peridiniella spp.,,,,,,,,,,
Peridinium quinquecorne,,,,,,,,,,
Pfiesteria spp.,,,,2904,,,,,,
Pheopolykrikos hartmannii,,,,,,,,,,
Polykrikos spp.,,,,,,,,,,
Polykrikos schwartzii ,,,,,,,,,,
Prorocentrum balticum ,,,,,,,,,,
Prorocentrum concavum,,,,,,,,,,
Prorocentrum cordatum,845,,,,,,,,,
Prorocentrum donghaiense,,,,,,,,,,
Prorocentrum lima,,,,,,,,,,
Prorocentrum mexicanum,,,,,,,,,,
Prorocentrum micans,,,,,,,,,,
Prorocentrum sigmoides,,,,,,,,,,
Prorocentrum triestinum,,,,,,,,,,
Prorocentrum spp,,,,,,,,,,
Protoperidinium bipes,,,,,,,,,,
Protoperidinium conicum,,,,,,,,,,
Protoperidinium depressum,,,,,,,,,,
Protoperidinium oblongum,,,,,,,,,,
Protoperidinium oceanicum,,,,,,,,,,
Protoperidinium spp.,,,,,,,,1452,,
Scrippsiella spp.,1742,,,,,,,2904,13200,352
other dinoflagellates,,,,,,,,,,
Dinoflagellate cysts,,,,,,,,,,
Scenedesmus spp.,,,,,,,,,,
Scenedesmus dimorphus,,,,,,,,,,
Halosphaera spp.,,,,,,,,,,
Pyramimonas spp.,,,,,,,,,,
Chattonella antiqua,,,,,,,,,,
Chattonella marina ,,,2904,,,,,,,
Chattonella spp.,,,,,,,1452,1452,,
Gonyostomum semen,,,,,,,,,,
Heterosigma akashiwo,,,,,,,,,,
Dictyocha speculum,,,,,,,,,,
Dictyocha fibul,,,,,,,,,,
Ebria tripartita,,,,,,,,,,
Hemiselmis spp.,3485,13200,,39600,70400,39600,13200,17600,48400,13200
Rhodomonas spp.,,,,,,,,,,
Teleaulax spp.,,17600,39600,17600,22000,39600,13200,13200,13200,2904
Ochromonas spp.,,,,,,,,,,
Ochromonas danica,21120,,,,2904,,2904,,,
Chrysochromulina polylepis,,,,,,,,,,
Chrysochromulina spp.,,,,,,,,,,
Phaeocystis globosa,,,,,,,,,17600,
Phaeocystis spp.,,,,,,,,,,
Eutreptiella spp. ,,,,,1452,,,,13200,
Nanoplankton,290400,374000,322080,259600,224400,242000,193600,145200,242000,96800
,,,,,,,,,,
,,,,,,,,,,
 ,,,,,,,,,,
