Cruise,Station.Name,Date,Depth.Code,Parameter,Result,non.detect,Units,Latitude,Longitude,Year,Month
WQFEB24,H2,2/5/2024,S,CHLA,1.4,FALSE,ppb,41.177669,-72.961165,2024,Feb
WQFEB24,M3,2/5/2024,S,CHLA,2,FALSE,ppb,41.236165,-72.052669,2024,Feb
WQFEB24,K2,2/5/2024,S,CHLA,2,FALSE,ppb,41.234163,-72.262834,2024,Feb
WQFEB24,J2,2/5/2024,S,CHLA,1.5,FALSE,ppb,41.181836,-72.457837,2024,Feb
WQFEB24,I2,2/5/2024,S,CHLA,1.7,FALSE,ppb,41.138167,-72.654834,2024,Feb
WQFEB24,09,2/6/2024,S,CHLA,3,FALSE,ppb,41.070671,-73.336336,2024,Feb
WQFEB24,A4,2/6/2024,S,CHLA,11.3,FALSE,ppb,40.872335,-73.734163,2024,Feb
WQFEB24,B3,2/6/2024,S,CHLA,12.7,FALSE,ppb,40.918502,-73.643335,2024,Feb
WQFEB24,C1,2/6/2024,S,CHLA,9,FALSE,ppb,40.955501,-73.580168,2024,Feb
WQFEB24,C2,2/6/2024,S,CHLA,4.9,FALSE,ppb,40.983667,-73.502669,2024,Feb
WQFEB24,D3,2/6/2024,S,CHLA,3.8,FALSE,ppb,40.994332,-73.410002,2024,Feb
WQFEB24,H4,2/7/2024,S,CHLA,2.8,FALSE,ppb,41.102165,-72.917334,2024,Feb
WQFEB24,F3,2/7/2024,S,CHLA,2.9,FALSE,ppb,41.017334,-73.145003,2024,Feb
WQFEB24,F2,2/7/2024,S,CHLA,1.7,FALSE,ppb,41.08033,-73.166829,2024,Feb
WQFEB24,E1,2/7/2024,S,CHLA,3.7,FALSE,ppb,41.019499,-73.292334,2024,Feb
WQFEB24,15,2/7/2024,S,CHLA,6.1,FALSE,ppb,40.931002,-73.221997,2024,Feb
WQFEB24,H6,2/7/2024,S,CHLA,4.3,FALSE,ppb,41.026001,-72.915169,2024,Feb
CHFEB24,A4,2/22/2024,S,CHLA,19.42,FALSE,ppb,40.872335,-73.733171,2024,Feb
CHFEB24,C1,2/22/2024,S,CHLA,4.07,FALSE,ppb,40.955668,-73.578337,2024,Feb
CHFEB24,E1,2/22/2024,S,CHLA,4.79,FALSE,ppb,41.019832,-73.291504,2024,Feb
CHFEB24,C2,2/22/2024,S,CHLA,6.01,FALSE,ppb,40.984001,-73.501335,2024,Feb
CHFEB24,09,2/22/2024,S,CHLA,10.48,FALSE,ppb,41.070833,-73.335498,2024,Feb
CHFEB24,B3,2/22/2024,S,CHLA,4.51,FALSE,ppb,40.918335,-73.641333,2024,Feb
CHFEB24,D3,2/22/2024,S,CHLA,5,FALSE,ppb,40.993669,-73.410498,2024,Feb
WQMAR24,I2,3/4/2024,S,CHLA,1.3,FALSE,ppb,41.137663,-72.655501,2024,Mar
WQMAR24,K2,3/4/2024,S,CHLA,1.6,FALSE,ppb,41.23383,-72.264502,2024,Mar
WQMAR24,J2,3/4/2024,S,CHLA,1.7,FALSE,ppb,41.180835,-72.458,2024,Mar
WQMAR24,H2,3/4/2024,S,CHLA,0.9,FALSE,ppb,41.178166,-72.961165,2024,Mar
WQMAR24,M3,3/4/2024,S,CHLA,1.8,FALSE,ppb,41.235832,-72.053166,2024,Mar
WQMAR24,B3,3/6/2024,S,CHLA,2.5,FALSE,ppb,40.918335,-73.643164,2024,Mar
WQMAR24,A4,3/6/2024,S,CHLA,7.4,FALSE,ppb,40.872668,-73.734163,2024,Mar
WQMAR24,C2,3/6/2024,S,CHLA,3.5,FALSE,ppb,40.983667,-73.502498,2024,Mar
WQMAR24,D3,3/6/2024,S,CHLA,2.4,FALSE,ppb,40.993502,-73.41167,2024,Mar
WQMAR24,E1,3/6/2024,S,CHLA,2.5,FALSE,ppb,41.019832,-73.290837,2024,Mar
WQMAR24,C1,3/6/2024,S,CHLA,2.9,FALSE,ppb,40.956002,-73.580168,2024,Mar
WQMAR24,09,3/6/2024,S,CHLA,3.8,FALSE,ppb,41.070833,-73.336165,2024,Mar
WQMAR24,F2,3/6/2024,S,CHLA,4.2,FALSE,ppb,41.08033,-73.165169,2024,Mar
WQMAR24,15,3/7/2024,S,CHLA,3.8,FALSE,ppb,40.931169,-73.221501,2024,Mar
WQMAR24,H4,3/7/2024,S,CHLA,0.8,FALSE,ppb,41.100496,-72.934831,2024,Mar
WQMAR24,H6,3/7/2024,S,CHLA,2,FALSE,ppb,41.02583,-72.913664,2024,Mar
WQMAR24,F3,3/7/2024,S,CHLA,2.3,FALSE,ppb,41.018001,-73.144499,2024,Mar
CHMAR24,B3,3/18/2024,S,CHLA,7.5,FALSE,ppb,40.918502,-73.642163,2024,Mar
CHMAR24,C1,3/18/2024,S,CHLA,2.6,FALSE,ppb,40.955835,-73.579167,2024,Mar
CHMAR24,A4,3/18/2024,S,CHLA,7.4,FALSE,ppb,40.872502,-73.73383,2024,Mar
CHMAR24,09,3/18/2024,S,CHLA,5,FALSE,ppb,41.070671,-73.336003,2024,Mar
CHMAR24,D3,3/18/2024,S,CHLA,2.6,FALSE,ppb,40.993335,-73.409668,2024,Mar
CHMAR24,C2,3/18/2024,S,CHLA,3.6,FALSE,ppb,40.983834,-73.500667,2024,Mar
CHMAR24,E1,3/18/2024,S,CHLA,2.6,FALSE,ppb,41.020003,-73.289836,2024,Mar
WQAPR24,H4,4/1/2024,S,CHLA,2.1,FALSE,ppb,41.101668,-72.935002,2024,Apr
WQAPR24,M3,4/1/2024,S,CHLA,3.2,FALSE,ppb,41.236336,-72.051831,2024,Apr
WQAPR24,K2,4/1/2024,S,CHLA,4.1,FALSE,ppb,41.234163,-72.264998,2024,Apr
WQAPR24,J2,4/1/2024,S,CHLA,5.7,FALSE,ppb,41.181999,-72.45883,2024,Apr
WQAPR24,H2,4/1/2024,S,CHLA,1.4,FALSE,ppb,41.177498,-72.960669,2024,Apr
WQAPR24,I2,4/1/2024,S,CHLA,2,FALSE,ppb,41.137834,-72.655835,2024,Apr
WQAPR24,H6,4/1/2024,S,CHLA,1.7,FALSE,ppb,41.026001,-72.913664,2024,Apr
WQAPR24,C1,4/8/2024,S,CHLA,4.6,FALSE,ppb,40.956169,-73.580998,2024,Apr
WQAPR24,B3,4/8/2024,S,CHLA,8.1,FALSE,ppb,40.918335,-73.642497,2024,Apr
WQAPR24,D3,4/8/2024,S,CHLA,2.7,FALSE,ppb,40.994499,-73.410002,2024,Apr
WQAPR24,A4,4/8/2024,S,CHLA,17.8,FALSE,ppb,40.872001,-73.735164,2024,Apr
WQAPR24,09,4/8/2024,S,CHLA,2.8,FALSE,ppb,41.070671,-73.337166,2024,Apr
WQAPR24,C2,4/8/2024,S,CHLA,3.2,FALSE,ppb,40.983167,-73.502165,2024,Apr
WQAPR24,E1,4/8/2024,S,CHLA,2.3,FALSE,ppb,41.020166,-73.289665,2024,Apr
WQAPR24,F3,4/9/2024,S,CHLA,2.3,FALSE,ppb,41.017497,-73.14467,2024,Apr
WQAPR24,15,4/9/2024,S,CHLA,2,FALSE,ppb,40.931498,-73.221501,2024,Apr
WQAPR24,F2,4/9/2024,S,CHLA,3.2,FALSE,ppb,41.080664,-73.165503,2024,Apr
