Stations,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2 ,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2,A4,B3,C1,D3,E1,F2,H4,I2,J1,K2,A4,B3,C1,D3,E1,F2,H4,I2,J2,K2
Month,Jan,Jan,Jan,Jan,Jan,Jan,Jan,Jan,Jan,Jan,Feb,Feb,Feb,Feb,Feb,Feb,Feb,Feb,Feb,Feb,Mar,Mar,Mar,Mar,Mar,Mar,Mar,Mar,Mar,Mar,Apr,Apr,Apr,Apr,Apr,Apr,Apr,Apr,Apr,Apr,May,May,May,May,May,May,May,May,May,May,Jun,Jun,Jun,Jun,Jun,Jun,Jun,Jun,Jun,Jun,Jul,Jul,Jul,Jul,Jul,Jul,Jul,Jul,Jul,Jul,Aug,Aug,Aug,Aug,Aug,Aug,Aug,Aug,Aug,Aug,Sep,Sep,Sep,Sep,Sep,Sep,Sep,Sep,Sep,Sep,Oct,Oct,Oct,Oct,Oct,Oct,Oct,Oct,Oct,Oct
Diatom,1913032,1305260,1211716,709764,275704,402336,463936,167156,204820,332684,9838356,9998208,4736512,2287912,2570260,652608,1609080,526460,631048,1359644,3608220,1038620,1031668,795872,655864,1383404,286792,375584,212960,168168,5640782.4,2857008,1091112,755612,674608,406208,881452,548504,758164,554312,14308800,12388860,11832172,5439852,3669600,2403808,3797156,107008,68508,113916,5213524.8,3103408,4269408,1878712,2038564,515020,98648,363264,630872,910624,4676179.2,2160400,2075260,2613556,1035716,577060,519200,482856,374220,237512,332640,41756,92356,173404,346060,45364,202400,1804,627176,62568,3692832,2575452,4188668,652608,319968,271216,545512,140976,405064,81180,135168,137940,136268,9768,40216,25476,19008,231132,75240,151536
Dinoflagellate,89188,30940.8,30712,34584,40304,49104,3608,14828,3608,704,46816,49060,40612,64856,21164,22352,40964,17600,0,16720,61160,39688,61820,46860,29656,22308,10736,528,19976,792,8236.8,5808,0,2904,22000,35200,24904,13156,44704,1980,223449.6,118756,38764,16060,10208,4382.4,4708,4708,1056,352,841262.4,544412,426712,2904,46860,35772,1408,6380,20504,5104,1277760,91212,654412,179256,84964,336908,89760,188232,125488,7392,1432569.6,567952,79904,313456,73656,900636,178860,157916,47916,19712,693792,990352,155760,92972,2156,104456,45716,51216,119152,7964,5227.2,3256,3256,35552,47608,3784,108768,352,2904,0
Chlorophyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prasinophyte,0,0,0,0,0,0,0,0,0,0,1452,1452,0,1452,0,0,0,352,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,2904,1452,0,0,0,0,0,464640,198000,171600,110000,83600,352,2904,352,0,0,47520,66000,242000,79200,17600,110000,86504,110000,17600,17600,322080,154000,347600,1051600,44000,35200,83600,66000,0,0,396000,594000,1944800,312400,0,35200,22000,180400,92400,0,0,0,26400,13200,13200,0,30800,0,0,0
Raphidophyte,352,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,2904,0,0,0,1452,1452,0,0,0,36652,26400,61600,66000,79200,13552,0,0,0,0,1452,0,1452,0,8800,0,0,0,4752,47520,0,22000,26400,0,2904,1452,0,704,704,0,0,0,0,0,0,0,1452,0,0,5227.2,17600,704,352,0,2904,0,0,0,0,0,0,0,0,352,0,0,0,0,0
Sillicoflagellate,0,13200,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,2904,0,1452,0,352,22000,44000,0,13200,0,0,0,0,0,352,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cercozoan,0,0,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,0,1452,0,0,0,0,1742.4,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptophyte,26400,0,22000,0,8800,1452,13200,0,0,0,2904,1452,22000,17600,13200,22000,1452,0,13200,0,16104,13200,13200,13552,32252,13552,0,2904,13200,0,3484.8,30800,39600,57200,92400,79200,26400,30800,61600,16104,52800,24904,13200,0,2904,0,0,2904,1452,0,158400,20504,2904,0,0,13200,352,1452,4356,0,126720,35200,17600,67452,14652,79200,0,104104,17600,39600,823680,347600,264000,928400,22000,165704,83600,39600,0,1452,506880,668800,1315600,215600,35200,198000,22000,167200,39600,36652,1742.4,1452,22000,0,79200,14652,33704,1452,0,0
Ochrophyte,22000,13200,13200,2904,22000,0,1452,3080,17600,1452,1452,0,2904,13200,0,0,1452,5852,2904,2904,8800,13200,0,2904,2904,0,352,0,0,0,21120,0,0,0,2904,0,2904,0,0,0,31680,0,13200,0,0,0,0,0,0,0,0,44000,0,0,0,0,0,2904,0,0,0,0,0,0,13200,0,0,0,2904,0,0,0,93852,85052,2904,0,2904,0,0,0,1742.4,54252,0,0,0,0,0,26400,0,0,1742.4,0,0,0,0,0,0,0,0,0
Haptophyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17600,0,0,0,0,0,0,0,0,1804,704,0,52800,30800,41052,17600,0,0,0,0,0,0,1742.4,0,13200,8800,1452,1452,1452,1452,2904,0,3484.8,13200,0,0,2904,0,0,0,0,0,0,0,13200,0,0,17952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euglenophyte,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,2904,0,0,2904,1452,0,0,0,0,0,0,0,0,0,1452,0,0,0,13200,0,0,0,1452,0,0,0,0,0,0,0,21120,22000,0,2904,0,0,0,0,0,0,31680,0,0,1452,0,0,0,352,0,0,110880,5852,0,0,0,44000,0,704,0,0,26400,22000,2904,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0
Small flagellates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,13200,0,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,0,0,22000,2904,0,0,216480,66000,167200,0,83600,17600,0,0,0,0,47520,105600,136400,83600,180400,136400,171600,110000,66000,39600,42240,48400,83600,110000,39600,35200,83600,110000,22000,0,58080,66000,79200,0,35200,48400,22000,26400,13200,0,0,0,17600,0,17600,0,17600,0,17600,0
